#{"t_start": 1748433463.6199374, "env_id": "None"}
r,l,t
-1190.792759,24,1094.887885
-1190.792759,24,1096.237557
-1190.792759,24,1097.574747
-1190.792759,24,1098.873613
-1190.792759,24,1100.224196
-1190.304759,24,1101.582207
-1190.161357,24,1102.908473
-1190.963183,24,1104.247086
-1191.825025,24,1105.540252
-1192.506768,24,1106.903299
-1190.646868,24,1108.221016
-1191.753807,24,1109.584634
-1191.649917,24,1110.953472
-1191.086535,24,1112.265822
-1193.137737,24,1113.587272
-1190.665861,24,1114.936448
-1189.344419,24,1116.282682
-1191.837364,24,1117.613792
-1192.284715,24,1118.915133
-1190.845421,24,1120.241265
-1191.718596,24,1121.614942
-1192.363215,24,1124.356416
-1191.322924,24,1125.688181
-1190.634536,24,1127.053953
-1189.450311,24,1128.370973
-1191.577879,24,1129.689002
-1190.066884,24,1131.024643
-1192.717309,24,1132.326546
-1191.000128,24,1133.656481
-1189.418753,24,1134.989119
-1189.861534,24,1136.298604
-1189.519224,24,1137.655407
-1189.546677,24,1138.988052
-1190.087186,24,1140.350285
-1191.886879,24,1141.719468
-1190.374518,24,1143.013909
-1192.345901,24,1144.363948
-1192.662627,24,1145.675699
-1190.557947,24,1146.991916
-1192.081959,24,1148.319128
-1190.360196,24,1149.713173
-1189.622331,24,1151.477024
-1189.639338,24,1153.03161
-1191.164743,24,1154.342458
-1191.317514,24,1155.787206
-1190.534074,24,1157.134628
-1190.394335,24,1159.327132
-1190.394335,24,1160.713808
-1190.394335,24,1162.147274
-1190.394335,24,1163.444628
-1190.394335,24,1164.821205
-1189.427502,24,1166.280589
-1190.645282,24,1167.677073
-1189.942033,24,1169.690371
-1190.474776,24,1171.288175
-1191.331825,24,1172.690984
-1189.687122,24,1174.085508
-1190.911487,24,1175.488986
-1190.644674,24,1176.888772
-1191.384116,24,1178.327678
-1191.349832,24,1179.755808
-1190.76066,24,1181.181461
-1190.244724,24,1182.877701
-1191.525633,24,1184.40195
-1190.395826,24,1185.988886
-1193.546805,24,1187.619829
-1191.750319,24,1189.404485
-1190.680214,24,1191.023848
-1189.701352,24,1192.585487
-1191.331633,24,1194.161755
-1191.308306,24,1195.781563
-1191.114109,24,1197.206577
-1192.289553,24,1198.546848
-1192.234202,24,1199.956388
-1190.767306,24,1201.300762
-1190.784526,24,1202.716259
-1190.17234,24,1204.055842
-1190.502159,24,1205.539309
-1189.97736,24,1206.872219
-1191.473386,24,1208.320867
-1190.586098,24,1209.855792
-1191.204797,24,1211.538883
-1191.992032,24,1212.909692
-1189.700149,24,1214.28873
-1191.078532,24,1215.624937
-1189.712283,24,1216.979185
-1190.903883,24,1218.376331
-1190.373117,24,1219.690313
-1189.742022,24,1221.057845
-1189.730041,24,1222.466443
-1189.63155,24,1223.77751
-1191.219245,24,1225.127205
-1190.394335,24,1227.348664
-1190.394335,24,1228.675661
-1190.394335,24,1229.993917
-1190.394335,24,1231.379184
-1190.394335,24,1232.696693
-1190.524049,24,1234.013251
-1190.147625,24,1235.331184
-1191.919983,24,1236.663417
-1190.357043,24,1238.007922
-1189.731637,24,1239.489618
-1192.44832,24,1240.85069
-1189.817082,24,1242.231084
-1193.554074,24,1243.5953
-1189.954492,24,1244.939112
-1191.649749,24,1246.264899
-1190.493205,24,1247.622074
-1189.62044,24,1248.971842
-1191.282178,24,1250.264188
-1191.824042,24,1251.630384
-1190.414275,24,1252.969868
-1190.583931,24,1254.320817
-1191.134754,24,1255.830028
-1189.990605,24,1257.207327
-1189.936494,24,1260.361253
-1189.7776,24,1261.765756
-1192.027442,24,1263.146971
-1191.219966,24,1264.50438
-1190.520965,24,1265.824655
-1189.709478,24,1267.17591
-1190.699509,24,1268.491478
-1190.133286,24,1269.98712
-1189.651231,24,1271.325653
-1190.067257,24,1272.799935
-1189.732595,24,1274.483064
-1190.788028,24,1276.061898
-1190.766207,24,1277.798861
-1189.639926,24,1279.216837
-1189.643796,24,1280.747315
-1190.590392,24,1282.325886
-1190.494707,24,1283.884145
-1190.469436,24,1285.503072
-1189.737652,24,1286.935309
-1190.266689,24,1288.233679
-1191.319212,24,1289.564783
-1190.124182,24,1291.356614
-1192.212536,24,1292.79807
-1189.933497,24,1295.193827
-1189.933497,24,1296.589236
-1189.933497,24,1297.978486
-1189.933497,24,1299.389161
-1189.933497,24,1300.949104
-1189.927055,24,1302.415572
-1190.25302,24,1303.745013
-1189.929293,24,1305.075237
-1190.947503,24,1306.378617
-1191.027045,24,1307.739887
-1190.018997,24,1309.172167
